,fips,county,province_state,covid_last_update,county_latitude,county_longitudue,covid_confirmed,covid_death,covid_recovered,covid_active,covid_indidence_rate,covid_case_fatality_ratio,county_population,covid_death_per_10000,covid_confirmed_per_10000,covid_active_cases_per_capita,fires_per_county_in_2020,active_fires_per_county,fire_score,earthquakes_per_county_in_2020,earthquakes_score,fatality_rate_per_10000,combined_risk,combined_risk_2
45,6091.0,Sierra,California,2020-10-17 04:24:12,39.57713498,-120.52007009999998,6,0,0,6.0,199.6672212978369,0.0,3005,0.0,19.96672212978369,19.96672212978369,2,0,2,1,1,0.0,-2.0,-1.0
46,6093.0,Siskiyou,California,2020-10-17 04:24:12,41.59198861,-122.54074340000001,183,0,0,183.0,420.3128229862882,0.0,43539,0.0,42.03128229862882,42.03128229862882,5,1,6,0,0,0.0,-1.0,-1.0
47,6095.0,Solano,California,2020-10-17 04:24:12,38.26827353,-121.9357113,7009,74,0,6935.0,1565.7566408946414,1.0557854187473248,447643,1.6531030307633539,156.57566408946417,154.9225610587008,5,0,6,0,0,0.02358543345360756,-0.0,-1.0
48,6097.0,Sonoma,California,2020-10-17 04:24:12,38.52746429,-122.88625060000001,8717,129,0,8588.0,1763.3755178663903,1.4798669266949638,494336,2.6095611082340757,176.33755178663904,173.72799067840498,4,1,6,0,0,0.029936458738488877,-0.0,-1.0
49,6099.0,Stanislaus,California,2020-10-17 04:24:12,37.55862499,-120.9970722,17198,391,0,16807.0,3123.1612973522692,2.27352017676474,550660,7.100570224821124,312.3161297352268,305.2155595104057,4,0,5,0,0,0.041287185863595324,1.0,-1.0
50,6101.0,Sutter,California,2020-10-17 04:24:12,39.03417539,-121.6945899,1793,12,0,1781.0,1849.0064039764466,0.6692693809258227,96971,1.2374833713171978,184.9006403976447,183.66315702632744,0,0,0,0,0,0.06901747748562176,-2.0,-2.0
51,6103.0,Tehama,California,2020-10-17 04:24:12,40.12570935,-122.23701709999999,726,8,0,718.0,1115.4815315592157,1.1019283746556474,65084,1.2291807510294388,111.54815315592158,110.31897240489214,5,1,11,0,0,0.16930864339248472,0.0,1.0
52,6105.0,Trinity,California,2020-10-17 04:24:12,40.64917670000001,-123.114713,20,0,0,20.0,162.8001628001628,0.0,12285,0.0,16.28001628001628,16.28001628001628,3,1,9,0,0,0.0,-1.0,0.0
53,6107.0,Tulare,California,2020-10-17 04:24:12,36.22026558,-118.8020203,17072,274,0,16798.0,3661.986936796834,1.6049671977507032,466195,5.877368912150495,366.19869367968334,360.3213247675328,6,3,9,0,0,0.03442695004774189,2.0,0.0
54,6109.0,Tuolumne,California,2020-10-17 04:24:12,38.02644018,-119.95250929999999,244,4,0,240.0,447.88722052938795,1.639344262295082,54478,0.7342413451301443,44.7887220529388,44.05448070780866,2,0,2,0,0,0.30091858406973127,-2.0,-1.0
55,6111.0,Ventura,California,2020-10-17 04:24:12,34.44465746,-119.09106129999999,13750,159,0,13591.0,1625.2839814374838,1.1563636363636365,846006,1.8794192948986177,162.5283981437484,160.64897884884977,2,0,2,1,1,0.013668503962899039,-1.0,-1.0
56,6113.0,Yolo,California,2020-10-17 04:24:12,38.68278902,-121.90182879999999,3034,56,0,2978.0,1375.9637188208615,1.8457481872116013,220500,2.53968253968254,137.59637188208615,135.05668934240362,1,0,2,0,0,0.0837074007805715,-1.0,-1.0
57,6115.0,Yuba,California,2020-10-17 04:24:12,39.26255932,-121.35356440000001,1246,10,0,1236.0,1583.8714598057659,0.8025682182985554,78668,1.2711648955102457,158.3871459805766,157.11598108506635,4,0,4,0,0,0.10201965453533272,-1.0,-1.0
